timestamp TimeMS SV SP SH SMX SMY SMZ SVT OFN EFE FS DS
200.268 200268 31 10 13 4 13 8 0 0 0 0 0
200.289 200289 31 10 13 4 11 8 0 0 0 0 0
200.309 200309 31 10 13 4 11 7 0 0 0 0 0
200.329 200329 31 10 13 4 11 7 0 0 0 0 0
200.349 200349 31 10 13 4 11 7 0 0 0 0 0
200.369 200369 31 10 29 2 11 7 0 0 0 0 0
200.389 200389 31 10 29 2 7 7 0 0 0 0 0
200.409 200409 31 10 29 2 7 18 0 0 0 0 0
200.429 200429 31 10 29 2 7 18 0 0 0 0 0
200.449 200449 39 13 29 2 7 18 0 0 0 0 0
200.469 200469 39 13 25 10 7 18 0 0 0 0 0
200.490 200490 39 13 25 10 14 18 0 0 0 0 0
200.510 200510 39 13 25 10 14 18 0 0 0 0 0
200.530 200530 39 13 25 10 14 18 0 0 0 0 0
200.550 200550 39 13 25 10 14 18 0 0 0 0 0
200.570 200570 39 13 23 11 14 18 0 0 0 0 0
200.590 200590 39 13 23 11 4 18 0 0 0 0 0
200.610 200610 39 13 23 11 4 18 0 0 0 0 0
200.630 200630 39 13 23 11 4 18 0 0 0 0 0
200.650 200650 48 15 23 11 4 18 0 0 0 0 0
200.670 200670 48 15 13 9 4 18 0 0 0 0 0
200.690 200690 48 15 13 9 7 18 0 0 0 0 0
200.710 200710 48 15 13 9 7 9 0 0 0 0 0
200.730 200730 48 15 13 9 7 9 0 0 0 0 0
200.751 200751 48 15 13 9 7 9 0 0 0 0 0
200.771 200771 48 15 12 15 7 9 0 0 0 0 0
200.791 200791 48 15 12 15 5 9 0 0 0 0 0
200.811 200811 48 15 12 15 5 9 0 0 0 0 0
200.831 200831 48 15 12 15 5 9 0 0 0 0 0
200.851 200851 45 17 12 15 5 9 0 0 0 0 0
200.871 200871 45 17 13 18 5 9 0 0 0 0 0
200.891 200891 45 17 13 18 11 9 0 0 0 0 0
200.912 200912 45 17 13 18 11 11 0 0 0 0 0
200.931 200931 45 17 13 18 11 11 0 0 0 0 0
200.952 200952 45 17 13 18 11 11 0 0 0 0 0
200.972 200972 45 17 30 15 11 11 0 0 0 0 0
200.992 200992 45 17 30 15 13 11 0 0 0 0 0
201.012 201012 45 17 30 15 13 6 0 0 0 0 0
201.032 201032 45 17 30 15 13 6 0 0 0 0 0
201.052 201052 34 17 30 15 13 6 0 0 0 0 0
201.072 201072 34 17 23 23 13 6 0 0 0 0 0
201.092 201092 34 17 23 23 14 6 0 0 0 0 0
201.112 201112 34 17 23 23 14 8 0 0 0 0 0
201.132 201132 34 17 23 23 14 8 0 0 0 0 0
201.152 201152 34 17 23 23 14 8 0 0 0 0 0
201.172 201172 34 17 15 13 14 8 0 0 0 0 0
201.192 201192 34 17 15 13 7 8 0 0 0 0 0
201.212 201212 34 17 15 13 7 9 0 0 0 0 0
201.232 201232 34 17 15 13 7 9 0 0 0 0 0
201.253 201253 18 16 15 13 7 9 0 0 0 0 0
201.273 201273 18 16 14 20 7 9 0 0 0 0 0
201.293 201293 18 16 14 20 21 9 0 0 0 0 0
201.313 201313 18 16 14 20 21 5 0 0 0 0 0
201.333 201333 18 16 14 20 21 5 0 0 0 0 0
201.353 201353 18 16 14 20 21 5 0 0 0 0 0
201.373 201373 18 16 15 21 21 5 0 0 0 0 0
201.393 201393 18 16 15 21 13 5 0 0 0 0 0
201.413 201413 18 16 15 21 13 11 0 0 0 0 0
201.433 201433 18 16 15 21 13 11 0 0 0 0 0
201.453 201453 5 14 15 21 13 11 0 0 0 0 0
201.473 201473 5 14 16 14 13 11 0 0 0 0 0
201.493 201493 5 14 16 14 20 11 0 0 0 0 0
201.514 201514 5 14 16 14 20 3 0 0 0 0 0
201.533 201533 5 14 16 14 20 3 0 0 0 0 0
201.554 201554 5 14 16 14 20 3 0 0 0 0 0
201.574 201574 5 14 0 23 20 3 0 0 0 0 0
201.594 201594 5 14 0 23 18 3 0 0 0 0 0
201.614 201614 5 14 0 23 18 6 0 0 0 0 0
201.634 201634 5 14 0 23 18 6 0 0 0 0 0
201.654 201654 2 11 0 23 18 6 0 0 0 0 0
201.674 201674 2 11 12 5 18 6 0 0 0 0 0
201.694 201694 2 11 12 5 12 6 0 0 0 0 0
201.714 201714 2 11 12 5 12 5 0 0 0 0 0
201.734 201734 2 11 12 5 12 5 0 0 0 0 0
201.755 201755 2 11 12 5 12 5 0 0 0 0 0
201.775 201775 2 11 39 4 12 5 0 0 0 0 0
201.795 201795 2 11 39 4 19 5 0 0 0 0 0
201.815 201815 2 11 39 4 19 3 0 0 0 0 0
201.835 201835 2 11 39 4 19 3 0 0 0 0 0
201.855 201855 9 10 39 4 19 3 0 0 0 0 0
201.875 201875 9 10 13 10 19 3 0 0 0 0 0
201.895 201895 9 10 13 10 16 3 0 0 0 0 0
201.915 201915 9 10 13 10 16 10 0 0 0 0 0
201.935 201935 9 10 13 10 16 10 0 0 0 0 0
201.956 201956 9 10 13 10 16 10 0 0 0 0 0
201.976 201976 9 10 7 0 16 10 0 0 0 0 0
201.996 201996 9 10 7 0 24 10 0 0 0 0 0
202.016 202016 9 10 7 0 24 5 0 0 0 0 0
202.036 202036 9 10 7 0 24 5 0 0 0 0 0
202.056 202056 17 9 7 0 24 5 0 0 0 0 0
202.076 202076 17 9 9 6 24 5 0 0 0 0 0
202.096 202096 17 9 9 6 20 5 0 0 0 0 0
202.116 202116 17 9 9 6 20 12 0 0 0 0 0
202.136 202136 17 9 9 6 20 12 0 0 0 0 0
202.156 202156 17 9 9 6 20 12 0 0 0 0 0
202.176 202176 17 9 22 9 20 12 0 0 0 0 0
202.196 202196 17 9 22 9 28 12 0 0 0 0 0
202.216 202216 17 9 22 9 28 3 0 0 0 0 0
202.237 202237 17 9 22 9 28 3 0 0 0 0 0
202.257 202257 20 9 22 9 28 3 0 0 0 0 0
202.277 202277 20 9 6 0 28 3 0 0 0 0 0
202.297 202297 20 9 6 0 28 3 0 0 0 0 0
202.317 202317 20 9 6 0 28 12 0 0 0 0 0
202.337 202337 20 9 6 0 28 12 0 0 0 0 0
202.357 202357 20 9 6 0 28 12 0 0 0 0 0
202.377 202377 20 9 39 7 28 12 0 0 0 0 0
202.397 202397 20 9 39 7 24 12 0 0 0 0 0
202.417 202417 20 9 39 7 24 2 0 0 0 0 0
202.437 202437 20 9 39 7 24 2 0 0 0 0 0
202.457 202457 17 9 39 7 24 2 0 0 0 0 0
202.478 202478 17 9 4 8 24 2 0 0 0 0 0
202.498 202498 17 9 4 8 23 2 0 0 0 0 0
202.518 202518 17 9 4 8 23 12 0 0 0 0 0
202.538 202538 17 9 4 8 23 12 0 0 0 0 0
202.558 202558 17 9 4 8 23 12 0 0 0 0 0
202.578 202578 17 9 15 1 23 12 0 0 0 0 0
202.598 202598 17 9 15 1 30 12 0 0 0 0 0
202.618 202618 17 9 15 1 30 6 0 0 0 0 0
202.638 202638 17 9 15 1 30 6 0 0 0 0 0
202.658 202658 20 8 15 1 30 6 0 0 0 0 0
202.678 202678 20 8 0 0 30 6 0 0 0 0 0
202.698 202698 20 8 0 0 19 6 0 0 0 0 0
202.718 202718 20 8 0 0 19 10 0 0 0 0 0
202.738 202738 20 8 0 0 19 10 0 0 0 0 0
202.759 202759 20 8 0 0 19 10 0 0 0 0 0
202.779 202779 20 8 14 4 19 10 0 0 0 0 0
202.799 202799 20 8 14 4 21 10 0 0 0 0 0
202.819 202819 20 8 14 4 21 1 0 0 0 0 0
202.839 202839 20 8 14 4 21 1 0 0 0 0 0
202.859 202859 27 9 14 4 21 1 0 0 0 0 0
202.879 202879 27 9 0 3 21 1 0 0 0 0 0
202.899 202899 27 9 0 3 21 1 0 0 0 0 0
202.919 202919 27 9 0 3 21 0 0 0 0 0 0
202.939 202939 27 9 0 3 21 0 0 0 0 0 0
202.960 202960 27 9 0 3 21 0 0 0 0 0 0
202.980 202980 27 9 1 8 21 0 0 0 0 0 0
203.000 203000 27 9 1 8 22 0 0 0 0 0 0
203.020 203020 27 9 1 8 22 9 0 0 0 0 0
